cluster_name,cluster_group,cluster_tags
cathay-refulgent,qux,
held-aftertastes,bar,
ambivalently-indispensables,foo,
pasties-steadies,bar,
divulging-threesomes,bar,
postdated-lordship,qux,
unsnarled-city,baz,
receipted-imitation,bar,
gumbel-vishnu,foo,
panama-wallowing,foo,
action-punchline,qux,
grimed-schoolmistress,baz,
landscaped-blackboard,baz,
thirty-stumbling,foo,
contradictory-enfranchises,baz,
weill-rejuvenation,foo,
unwillingly-cantu,bar,
peaceably-dived,baz,
parrakeet-subcontracts,foo,
witticisms-indigestion,bar,
floozy-baselines,foo,
supercharged-franciscan,foo,
chancellery-rape,bar,
commemorative-smudgier,foo,
eddy-ambushed,bar,
modals-daub,foo,
moderns-sauted,foo,
finalizes-libel,bar,
ufa-partition,bar,
miss-cynically,foo,
abjurations-roused,bar,
rent-straitjacketed,qux,
vouchsafed-calories,bar,
mud-yahoo,baz,
bilious-retrieving,baz,
vassalage-ampersands,bar,
trenchantly-deadliest,bar,
pintos-compulsiveness,bar,
coronets-gladdening,foo,
sparrow-unscrewing,foo,
candor-thumbed,bar,
carpentered-berra,qux,
flosses-protracting,foo,
governance-batched,qux,
retrenchments-demagnetize,bar,
bibliography-ocelot,foo,
insignificance-cabinets,bar,
google-tarantula,baz,
agitations-flashbulb,baz,
ballyhooed-reddish,baz,
slapping-metabolizing,baz,
penology-vulnerable,qux,
crest-layette,bar,
semicolons-annexes,foo,
semitrailers-fatheads,foo,
yelling-soils,bar,
barren-honorariums,foo,
capitalist-fertilization,foo,
absinthe-deputizes,bar,
moistly-bernstein,bar,
huffily-sensing,baz,
curls-ecumenical,foo,
spittoons-rating,foo,
iowa-cambering,baz,
sawyer-architectural,bar,
walkman-developed,bar,
coquettish-stablest,bar,
piddling-introductory,baz,
emanate-eases,foo,
underflow-hitachi,bar,
punk-filaments,bar,
somalian-subtitling,qux,
timelier-mantle,foo,
millstones-disbelieved,qux,
whereas-perambulate,bar,
bound-hill,qux,
searching-horn,foo,
nappies-birdwatchers,baz,
decimals-infiltrated,bar,
flounders-sifting,bar,
lander-confounds,bar,
regaled-gomorrah,bar,
term-bundesbank,bar,
goiania-kindhearted,qux,
sooth-rehearsal,foo,
grimes-carranza,bar,
sprinkling-orizaba,foo,
affectations-superannuate,foo,
accursed-umping,foo,
camille-handsets,qux,
mervin-magnolia,qux,
hurler-lectured,qux,
lowering-doused,qux,
accuse-papers,qux,
shuffle-towering,foo,
earthing-antics,foo,
propitiation-denial,baz,
shunt-reverends,qux,
pepys-mozart,foo,
cavour-hushed,bar,
galvanic-tompkins,bar,
orthopedic-discontenting,bar,
mislay-traipsed,baz,
cryptogram-unprovoked,bar,
timbuktu-corolla,foo,
shared-relives,baz,
preciosity-concubines,foo,
racking-houseboat,bar,
included-oratories,baz,
bashing-vauban,bar,
interne-cannibal,bar,
decontamination-cagey,baz,
hurtle-venture,baz,
clark-subtracted,baz,
rev-underpays,qux,
gail-procrastinators,baz,
memorandums-sheet,bar,
repeal-telecasters,baz,
teletypes-freest,qux,
akiva-schrieffer,foo,
archimedes-whippoorwills,baz,
decried-chronometers,bar,
hypocrisy-lonesome,foo,
restrictive-mondrian,bar,
newts-unsnarled,foo,
juicier-deputize,qux,
hotpoint-monochrome,qux,
people-attestation,qux,
unflappable-post,baz,
podiatry-hallows,foo,
woofer-cromwell,bar,
logs-saatchi,qux,
cambering-unmanlier,bar,
rashness-impetuses,bar,
captivities-entreaties,bar,
orgasms-setup,foo,
loftiest-chase,bar,
garcia-ecosystems,qux,
gadgets-pushups,qux,
combustion-sixteen,baz,
branch-indicating,qux,
prostrated-sleepwalking,qux,
madrasah-rescuing,baz,
prognosticating-mascots,baz,
exhaustive-believe,bar,
luminescence-lallygag,qux,
beholding-yemeni,bar,
outstrip-gory,baz,
domesticated-mortices,qux,
bulgari-anguished,foo,
kailua-organizational,foo,
overdrew-intersperses,baz,
perilous-mutilated,baz,
dispense-alternations,bar,
mass-pasts,qux,
contemplates-walleyed,qux,
silverfishes-perpetrator,baz,
arabian-singularly,qux,
numbing-humbly,qux,
cellulars-viscid,foo,
ignominiously-tourists,baz,
contaminated-front,baz,
minarets-putrid,qux,
reggie-ceasing,foo,
feats-flung,bar,
scriptures-potboiler,qux,
ricochetting-gusting,bar,
suet-deescalating,qux,
mourn-apportions,baz,
alts-viziers,foo,
carpenter-solicitude,bar,
exit-republic,baz,
skywriter-quaffs,baz,
clustering-puerility,baz,
jingoistic-redefines,baz,
footage-janitors,qux,
whetstone-humankind,foo,
rasping-hack,baz,
personage-beekeeper,qux,
interweaved-foreshadow,bar,
windbreaks-della,bar,
chaitin-maize,baz,
censoring-twisted,qux,
altaic-cols,qux,
unhorsing-aegis,qux,
molotov-marketer,qux,
redraft-chatterley,baz,
perpetrator-bearings,bar,
educable-subsidence,baz,
scoops-amnesiacs,qux,
bisque-outbids,baz,
housekeeping-encryption,qux,
limped-nonmalignant,bar,
sugarcoats-summarized,bar,
tanganyika-fountains,bar,
misrepresentation-imus,bar,
passenger-introversion,bar,
archenemy-duns,qux,
osiers-amoebas,foo,
noel-baths,qux,
absent-partner,qux,
nonsmoker-faltering,qux,
devastates-scatters,baz,
jerkily-writ,baz,
inevitable-wilderness,bar,
litigiousness-girlfriend,foo,
pleistocene-suriname,baz,
thimbles-diddling,baz,
occident-from,baz,
gte-yucca,bar,
downhill-philosophers,bar,
truckled-preconception,foo,
incorporated-determining,bar,
underside-carlson,foo,
reprogrammed-impenitent,qux,
corpulence-repertories,foo,
thorazine-lancaster,qux,
ombudsman-pestered,baz,
politeness-keypunches,baz,
contaminates-overacted,bar,
corny-shredded,bar,
prancers-suckers,qux,
gamecocks-learnt,qux,
alarms-emplacement,bar,
bo'sun-defecated,foo,
compares-mukluks,qux,
ultramarine-mcneil,bar,
dogcatcher-transition,bar,
tanagers-tempter,bar,
cooperated-disport,baz,
wonderlands-niceness,qux,
dermatitis-refuelling,foo,
smuts-volcanos,baz,
extemporizes-dodgson,qux,
depression-stagnation,qux,
saddled-rekindled,foo,
inaudibly-abolitionist,baz,
scotswomen-maw,foo,
engraves-plethora,qux,
prizefight-bespeak,qux,
onlookers-gardener,qux,
apron-uighur,baz,
industrialized-grafting,qux,
rivulets-mansion,qux,
numismatist-indefinitely,bar,
harmonies-libels,foo,
pokey-carly,baz,
distance-shies,bar,
niagara-concur,bar,
factorial-gunshots,foo,
stools-panaceas,baz,
dissociate-factorize,baz,
oran-werewolf,bar,
freedom-tasteless,qux,
rubber-brimmed,bar,
balusters-myrtle,baz,
flagellum-groaned,baz,
warned-dz,qux,
fitzpatrick-scorns,baz,
gabbled-amalgamate,baz,
manifold-arcadian,bar,
spotlights-loaded,bar,
seminole-impecunious,baz,
chowder-dr,foo,
chaps-adorable,qux,
value-conduced,foo,
macarthur-decade,qux,
cu-peritonea,foo,
newsiest-revolts,baz,
surpassed-swat,foo,
glowworms-autumnal,bar,
itinerant-groks,bar,
unmatched-florists,qux,
americas-dealing,bar,
assailants-reformulated,bar,
shat-optimization,baz,
weighty-ramps,foo,
engaging-delight,qux,
lovecraft-skulduggery,bar,
succulents-nonlinear,qux,
memling-rickover,qux,
madam-outrunning,foo,
coloring-foible,foo,
pinched-deadline,baz,
tammi-netflix,foo,
bullfighters-keyboarders,foo,
orated-collectivize,qux,
incurables-tourism,baz,
quirinal-uttered,qux,
gastonia-typography,foo,
abusing-synchronizations,baz,
mcadam-interurban,bar,
cody-handbags,foo,
keynoted-advances,foo,
cuddliest-entwined,foo,
garrick-harvard,qux,
civilities-rared,bar,
centralizing-intravenouses,foo,
postmasters-aftermaths,foo,
nicholas-mumbai,bar,
bran-safes,baz,
prospectors-ordovician,foo,
monocles-admittance,baz,
ostriches-kwan,baz,
appealed-clingier,bar,
austerer-choruses,foo,
constructively-sky,baz,
furry-sighting,foo,
greensleeves-phalanxes,bar,
ablatives-impoverishes,baz,
converter-ms,bar,
usmc-preexists,baz,
clap-edifying,baz,
winterier-raced,baz,
burr-smirked,qux,
clasp-whimper,qux,
maharajah-drama,qux,
timidity-zairian,qux,
trainee-counterpanes,bar,
golf-hitchhikes,baz,
colonized-tippled,qux,
inseparable-bureaucrats,baz,
chronicle-overblown,qux,
blucher-reactivates,foo,
chippewa-shareware,qux,
baggiest-landholders,baz,
meticulousness-humbug,baz,
easel-schrödinger,bar,
moaned-deranges,bar,
writers-juveniles,foo,
assess-overheated,bar,
hadar-guevara,bar,
uncivilized-angara,baz,
spoonful-refilling,bar,
malts-capaciousness,bar,
publication-skirt,bar,
vision-servomechanisms,bar,
jehoshaphat-hostler,baz,
legatee-landslides,baz,
shoo-puritan,baz,
eclipse-mockers,bar,
hacktivist-icecaps,bar,
disprove-blanks,baz,
clxix-tracery,qux,
queered-habitable,baz,
catechism-hummer,baz,
stewart-idahoans,baz,
eye-earthquake,qux,
optimized-refurbished,bar,
worthless-wildfowl,bar,
flyswatter-possesses,foo,
coifing-fumble,qux,
sidesaddles-insensate,qux,
absolves-perfumed,baz,
agglutinate-malacca,bar,
aesthetically-usual,qux,
vulgates-schlock,qux,
nehemiah-paniers,baz,
jayawardene-stifling,qux,
cheered-unheard,qux,
northampton-dicker,qux,
furnaces-interests,foo,
flora-hammerheads,qux,
outsmarting-pomeranian,bar,
maronite-unabridged,baz,
smolensk-scipio,foo,
lithium-irons,qux,
vitalize-flashbulb,baz,
autos-corsair,qux,
menkalinan-drowsier,qux,
ragged-ripens,qux,
miro-whelp,foo,
reheated-bruskest,foo,
anathema-insurance,bar,
emblazon-veld,baz,
outfoxed-divas,baz,
twiddled-enunciates,bar,
larder-bongo,baz,
individualistic-assassination,baz,
impingement-inmates,baz,
limos-norris,baz,
chicagoan-yahoos,bar,
clomping-winsomer,qux,
seams-leoncavallo,foo,
yaroslavl-checkmating,baz,
cal-unceremoniously,bar,
keepsake-octobers,baz,
thuds-gutless,qux,
tn-intersect,foo,
orifices-insolence,baz,
cashier-schedulers,baz,
knifed-vivace,baz,
pestilent-kermit,foo,
flimsier-pigsty,baz,
fascination-transcend,foo,
wa-formatting,qux,
conductivity-formalizes,qux,
oglethorpe-numeral,qux,
classified-handy,baz,
parenting-uncharitably,qux,
plywood-controlling,foo,
fussed-boasting,bar,
variability-sanitize,qux,
ambidextrously-calvinistic,bar,
nonliving-franchisers,baz,
halliburton-mines,bar,
maxilla-headmistress,foo,
unaccustomed-signposts,bar,
livelier-bulkiest,bar,
partook-contrariness,bar,
shortly-straightedge,qux,
wrestler-shellfish,bar,
transplanting-obscenest,bar,
whelp-diminutive,bar,
womble-blackwell,qux,
repelling-yea,qux,
interactions-farsighted,foo,
persuade-hurray,baz,
gobi-ambivalent,baz,
girds-culinary,qux,
premonitions-heisting,baz,
pius-thriftily,foo,
noriega-shrills,baz,
beefs-cremation,qux,
nanak-bleachers,foo,
shoddiest-aphrodite,bar,
affiliations-chant,foo,
prude-hardening,foo,
catalog-murk,baz,
giveaway-unitarians,qux,
reposing-clatters,foo,
exterminators-trespassing,bar,
scour-complaisantly,baz,
obliteration-amnestying,bar,
hailstorm-immunity,bar,
hope-specializing,foo,
capriciously-rococo,qux,
flannelled-celibacy,bar,
rubik-cartilaginous,qux,
villa-forums,baz,
supernova-incognito,foo,
unsophisticated-roominess,qux,
soothsayer-murmurs,foo,
coexisting-invite,baz,
roseann-foxhole,bar,
telethons-inductive,foo,
filter-archived,foo,
staci-rectors,bar,
cad-guts,qux,
crisscrosses-stockiest,foo,
projectionists-institute,foo,
clumsiest-banting,foo,
disgruntling-acute,foo,
peppery-oersted,bar,
mexicali-engineered,qux,
hesitate-chewiest,foo,
kindling-flatteringly,baz,
censoring-gothic,qux,
expounding-peritoneums,qux,
insurrection-smollett,qux,
amen-incas,bar,
misinform-crevices,bar,
wolfgang-ferraro,qux,
relocates-middles,baz,
overreacts-zeal,baz,
reupholsters-patrolwomen,baz,
holography-beeches,bar,
seeker-hallmark,qux,
soldiered-bank,baz,
weevils-positional,qux,
shutter-configures,bar,
chengdu-gravitate,foo,
valdez-beijing,baz,
decoy-relapse,bar,
gabrielle-silo,bar,
verdant-shrove,qux,
gayle-pothooks,bar,
copeland-cheerful,qux,
disorganized-pilot,baz,
demolished-deleverage,baz,
sulphuring-emulating,baz,
peas-scourging,baz,
worsening-necessitates,bar,
separate-rwanda,qux,
bestirred-convoked,qux,
thyme-caskets,qux,
diann-repetitious,qux,
powdered-rereading,foo,
mammon-alluring,foo,
verdict-aberdeen,qux,
jejune-demolishing,baz,
poohing-maritime,foo,
originate-ahmadinejad,foo,
boozer-shenyang,foo,
plonk-cajuns,qux,
enthroned-juggling,qux,
iowans-overcame,bar,
whittle-overran,foo,
utica-audion,foo,
somalians-grave,bar,
blurting-norfolk,bar,
wept-backbone,baz,
sociably-jamb,qux,
rotundas-pardoned,bar,
folder-swordfish,baz,
livening-illusory,bar,
nets-skivvied,foo,
ricketiest-arsenals,foo,
greensboro-systematically,baz,
reforesting-garishness,baz,
lies-brahe,qux,
scabs-sessions,qux,
underachieving-gangrening,bar,
toucans-asynchronous,bar,
obscures-predispositions,baz,
scintilla-engraver,bar,
jibed-doorbells,foo,
avails-clamors,baz,
chairlifts-cheekiness,bar,
dykes-millennium,qux,
hz-tallied,foo,
vintners-paratroops,bar,
uss-duisburg,baz,
coppery-counterculture,foo,
subsidize-bloomer,baz,
smears-immaterial,baz,
ferrying-abstractness,baz,
alcmena-immobilization,bar,
peeked-emigrations,qux,
mechanisms-apparently,baz,
settlement-neg,foo,
cruddy-pout,foo,
tearoom-slangiest,foo,
portaging-powered,qux,
daft-brightens,baz,
enlists-cornier,qux,
loadstone-ophthalmic,qux,
morpheme-janette,foo,
comfier-shroud,foo,
refurbished-serenades,bar,
thrums-herringbone,qux,
corrode-naples,bar,
retaliates-brooded,foo,
galois-powwow,qux,
workload-perspective,qux,
dynamos-boyfriend,baz,
waynesboro-releasing,qux,
nearsightedness-overstating,qux,
formatted-daydreamt,qux,
podia-sevenths,bar,
fiji-investiture,baz,
pathologists-swellhead,qux,
weatherproofed-wombs,baz,
possessing-recovery,foo,
cellophane-john,foo,
permission-brueghel,bar,
speckled-venerates,baz,
scorecards-rimmed,qux,
tinker-gauntlets,foo,
anecdotes-trowel,qux,
badmouthing-neoconservative,foo,
crushed-demoralized,baz,
griffin-blenched,bar,
comrade-checkpoint,baz,
befall-restlessly,qux,
marcy-musics,qux,
letterman-cyanide,foo,
cheerfulness-savings,baz,
however-liturgies,bar,
pair-disaffects,bar,
regresses-stenographic,baz,
crappiest-inflammations,foo,
barbequed-narrowed,baz,
retrospective-expedients,qux,
humorless-ais,qux,
compressing-tithes,baz,
wonky-outclass,baz,
aggrandizing-ferrules,foo,
wedlock-doggonedest,qux,
boudoir-silhouettes,bar,
meditates-wafer,qux,
blogs-flan,qux,
firing-rocco,bar,
cheapness-dodders,bar,
ephesian-swaddled,bar,
cordials-mantises,baz,
teenager-ugandans,bar,
acquainting-xmases,foo,
rationale-arsonist,foo,
havoline-jermaine,baz,
noticed-kodachrome,bar,
cosine-masonic,baz,
veep-sensuality,foo,
encyclical-overbore,foo,
nymphomaniac-cites,bar,
prettify-corms,foo,
overachieving-branden,foo,
crumbiest-unmarked,baz,
roué-enlarged,bar,
emphysema-gauge,foo,
broached-nauseated,bar,
abraded-folly,baz,
norwich-prohibit,foo,
gascony-witches,bar,
trash-variant,bar,
gumdrops-unpacking,foo,
carat-shuddering,baz,
sedge-ancestry,bar,
legionnaires-ignoring,qux,
observer-yearlies,qux,
chew-kristy,foo,
rainwater-catcall,baz,
sofia-vicuña,foo,
sweepers-kilowatts,foo,
depreciating-limitations,baz,
pomposity-elucidate,qux,
yoghourts-flogged,foo,
aclu-inoffensive,qux,
custodial-trisha,foo,
auto-pursuant,baz,
flourishing-ideal,qux,
vastest-paddle,foo,
supportive-snowman,foo,
enforcement-deploys,bar,
failures-ruination,foo,
buncombe-board,baz,
ethnicity-impregnably,baz,
nope-barnyard,baz,
moccasins-metronomes,qux,
collectivist-iroquois,qux,
exchequers-sniggers,foo,
waled-fisk,baz,
antifa-chitlins,qux,
appaloosa-sidelights,foo,
jacquelyn-rechecks,qux,
quiche-acidity,qux,
stormy-unpretentious,baz,
brandt-espousing,baz,
barometer-orals,baz,
teflons-oppresses,qux,
insular-thematically,bar,
emblematic-tron,baz,
akita-edginess,foo,
swings-obstreperous,baz,
admittedly-garrottes,bar,
grievance-tarball,qux,
naughtiest-raining,qux,
moldings-gulling,foo,
retroactive-uncalled,foo,
miniscules-luggage,baz,
stupefy-embroidery,baz,
versed-placentas,baz,
eventful-republican,qux,
clothier-milepost,bar,
landfalls-shadowiest,bar,
sealskin-overrides,qux,
suez-spiritualism,qux,
societies-ionosphere,foo,
heater-intrenchment,bar,
woeful-strikings,foo,
precluding-quotients,qux,
abided-reis,bar,
giraffes-metamorphose,baz,
huntresses-loyalist,baz,
needed-swarthiest,qux,
uphold-stuarts,qux,
stonework-currently,foo,
coalesce-cesarean,foo,
scruffs-bribes,foo,
novices-counties,qux,
spongers-guested,baz,
coheres-neutrally,qux,
city-unify,bar,
metered-infinite,foo,
scavenger-reprehends,foo,
geeing-celebrate,baz,
sons-angel,bar,
gatherings-snakes,qux,
gamiest-praia,baz,
betides-kurile,foo,
ionic-sectors,baz,
mclean-misfit,bar,
zollverein-heresies,bar,
sulky-nether,bar,
opens-generosities,baz,
whoopees-denylisting,qux,
breckenridge-glistens,qux,
depart-touchy,baz,
abreast-gynecologists,qux,
probity-irate,baz,
rapaciousness-ods,foo,
herculaneum-dacca,baz,
deter-mauled,foo,
goggle-transposed,foo,
shrubby-ruts,qux,
desegregation-localization,baz,
eleven-counsels,foo,
spitefullest-petunia,bar,
nigel-thank,bar,
tycho-musician,foo,
liverwurst-mutilates,baz,
bronte-felicity,bar,
hang-aims,qux,
turgid-ting,bar,
alsace-etching,baz,
reptilians-detain,qux,
hyperlink-overhears,foo,
fondants-pushiest,bar,
paraclete-petites,bar,
caplet-bluenoses,foo,
punker-unedited,qux,
crimean-reach,baz,
gujarat-playpens,bar,
ruckus-aurally,qux,
tinting-interruptions,bar,
warmongers-kicking,foo,
laundromat-eaglet,baz,
desertion-elfish,qux,
wireless-comparability,foo,
nymphomania-nick,bar,
jogging-td,qux,
noddy-elevate,bar,
revengeful-directing,foo,
gorse-reprimand,bar,
hornblower-pollard,bar,
charade-braises,baz,
phallic-boots,bar,
disbursing-emoticon,bar,
sparse-alt,foo,
intransitives-nut,qux,
baez-berzelius,foo,
itchiest-unconscious,bar,
decisiveness-uncoordinated,bar,
tattooist-ave,foo,
classicism-implausibility,baz,
cattleman-renascent,baz,
spectacular-ravel,foo,
wildfires-cows,bar,
fingerprint-warez,qux,
galvani-skirmished,qux,
vex-antic,foo,
decode-frost,foo,
improvise-tottering,foo,
crusts-sweeping,qux,
profaning-hooked,qux,
goldie-ventolin,qux,
gibing-ricked,qux,
taiping-populist,bar,
enrolling-probationary,qux,
eviscerating-crippled,qux,
robots-aristophanes,qux,
barrenest-fraught,baz,
dumbfounded-tenseness,foo,
unobtainable-prophets,qux,
schmaltzy-hearty,qux,
donkeys-gutless,foo,
incommensurate-act,qux,
chicanery-crudités,baz,
recognizably-publisher,qux,
hauptmann-petulance,baz,
terser-busies,baz,
arabians-lithuanian,baz,
stagnates-pie,baz,
stuccos-companionway,bar,
exchanging-earlobe,foo,
jacklyn-campos,bar,
fragrantly-gosh,foo,
subcontractors-ventilating,bar,
triggers-requisitions,foo,
departments-synchronize,qux,
fling-definitively,foo,
expurgates-soakings,baz,
discouragements-continual,baz,
fineness-haemorrhoids,foo,
base-marksmanship,baz,
cutest-sketchier,foo,
chiropodist-queues,foo,
amenity-outfielders,qux,
surfboards-apologists,baz,
chronometer-depreciate,bar,
promenades-swoon,baz,
rivulets-backwater,foo,
nazi-hydraulics,foo,
juxtaposition-individualizes,bar,
ongoing-greater,qux,
beakers-lagoons,foo,
sleeper-crawling,baz,
overthrew-plunging,foo,
nationalizes-footloose,foo,
revlon-formica,bar,
blintzes-permissible,baz,
refunded-gangway,baz,
cremates-glowworms,foo,
café-stickleback,foo,
migrant-carlton,qux,
stan-carly,foo,
tightness-commissions,baz,
armband-scraper,baz,
lethally-precursors,foo,
countries-rundown,baz,
acrimony-deathly,bar,
managua-topside,qux,
jeffry-profanity,bar,
avarice-wineglass,qux,
aphorisms-croaking,qux,
heinz-chemist,qux,
nieces-hon,qux,
hedgerows-backfield,baz,
runs-hock,qux,
exhibitionism-emphases,baz,
increasingly-backlogged,bar,
heroism-admitted,bar,
zinger-narrowest,bar,
recife-prosody,foo,
nagged-analgesic,foo,
berkeley-handbags,qux,
lateral-expiration,foo,
erlenmeyer-quartermaster,qux,
satirist-conciliated,qux,
vixen-pinching,bar,
behaving-consorts,baz,
uneconomic-boomed,bar,
daffier-parisians,foo,
frequented-tigers,baz,
cautioning-ascendents,baz,
gird-ripens,baz,
cosmogony-sickest,qux,
blowers-grasped,baz,
livy-liturgy,qux,
earp-rocky,baz,
levers-dogs,qux,
outgoing-liquefy,baz,
glades-cord,foo,
addressable-johnson,qux,
darius-jumpier,foo,
counterfeit-inquisitiveness,bar,
bereavements-luxury,baz,
inundating-haler,baz,
badgers-quickened,qux,
hastily-background,foo,
drifts-crush,qux,
islamist-tripitaka,qux,
hbo-wayward,foo,
occupants-feelingly,bar,
directional-hurrahed,foo,
diuretic-cloth,qux,
discrimination-influenza,bar,
anted-vets,bar,
davis-fraud,foo,
standings-resemblances,bar,
transplants-bothered,bar,
malingering-gentler,baz,
maltreat-enshrine,baz,
tenor-reapply,baz,
creakiest-correlate,qux,
yellowstone-moccasin,bar,
dogtrotting-sacred,foo,
dowry-cattle,bar,
shipmates-zenith,foo,
postscript-allover,bar,
wigged-transliteration,qux,
chiropody-pharmacologist,bar,
acolyte-unarmed,foo,
contusions-creeks,baz,
killing-toiling,qux,
vindicators-vocalists,baz,
glens-tipi,foo,
sheepishly-prigs,qux,
prating-nightgown,bar,
elsewhere-objects,qux,
brokerages-adequacy,baz,
mauricio-mistress,qux,
franchised-bicyclists,foo,
fishhooks-dimly,bar,
traversing-reclines,qux,
licorices-overshadow,bar,
miscues-doubleday,qux,
legitimizing-inadequacies,baz,
booth-weeder,bar,
oho-jello,bar,
tiber-rogers,baz,
humble-upward,bar,
buds-deep,foo,
stickiness-monkeys,foo,
beakers-completed,baz,
blowzier-bushwhack,bar,
ferries-airborne,qux,
boxing-goblins,qux,
cabled-haunches,baz,
sauterne-popped,foo,
attenuates-android,foo,
gangster-licentiates,bar,
pungent-zoologists,foo,
alive-archipelagos,qux,
colloquialism-fencing,qux,
homespun-antechamber,bar,
cascade-binoculars,qux,
caligula-clicks,foo,
candying-ostracizing,bar,
approx-eviscerated,qux,
outdone-unclothes,qux,
bedding-flunkeys,baz,
hurtful-strum,qux,
mcveigh-pretending,baz,
stroller-abate,qux,
termite-abridgement,foo,
entitled-breakdowns,foo,
dropper-bibliophile,baz,
inbreed-hellos,bar,
redefined-palliate,bar,
pricks-purifier,bar,
points-probed,bar,
lama-drowns,bar,
orates-academicians,bar,
inexorably-gushes,qux,
baptistry-brooking,baz,
smörgåsbord-clung,baz,
herrings-spruced,baz,
wits-stirling,qux,
magnificence-brigham,qux,
hsbc-trawlers,baz,
specking-josephine,foo,
signalized-tussock,qux,
delegating-decking,baz,
fuselage-wwi,qux,
liquored-taker,bar,
saffron-cannibalizes,baz,
memberships-sanctifying,foo,
playback-helvetius,foo,
diapered-dona,qux,
triton-suckers,bar,
catapults-ticonderoga,bar,
loewi-oppressing,baz,
pears-descends,qux,
mulattoes-shielded,baz,
upgrades-grandiloquence,foo,
cuff-sublimity,baz,
uppercuts-differentiated,baz,
lobed-atahualpa,bar,
lengthened-semiannual,qux,
tripartite-bumper,bar,
inventing-equality,foo,
parliament-deere,bar,
despairs-aliases,qux,
exactness-springdale,qux,
pinkest-dullest,baz,
mousetrapping-librium,bar,
olaf-yardstick,qux,
dodge-wryest,foo,
breaker-sumeria,bar,
hovercraft-ira,foo,
infeasible-relishes,foo,
paramedics-tracked,baz,
initiatives-catalogs,bar,
law-seafaring,bar,
big-variety,foo,
sophisticates-strapless,baz,
outgrows-methinks,bar,
corroborative-cockneys,foo,
portraits-shrivels,baz,
craftiness-appeasement,qux,
kisses-bombarded,baz,
nowhere-dramatics,qux,
rand-heidelberg,bar,
celtic-whoops,bar,
wilfully-ineluctable,foo,
relegation-speedups,qux,
jostling-unkindness,baz,
reproofs-beethoven,bar,
roumania-refile,baz,
exhibit-radically,bar,
chimes-savvy,foo,
wednesdays-alphonso,foo,
seldom-filofax,bar,
landlady-maharajas,bar,
duodenums-leon,qux,
chamomile-mannequin,baz,
tums-impressionistic,foo,
mongolism-masterpieces,bar,
matzos-innately,bar,
hq-helpless,qux,
beer-biospheres,baz,
tales-burrows,bar,
polyamories-jibes,qux,
damion-dimwit,bar,
dreadnought-blandest,baz,
conditioning-delacroix,baz,
dozed-dalai,baz,
doves-scrunching,bar,
scottie-circulating,baz,
wafting-blacktop,foo,
firefight-moodily,bar,
tony-indians,bar,
schoolmasters-neighbored,bar,
mckinney-vera,bar,
evoke-barry,baz,
fasts-weightlifter,qux,
neologism-winesap,foo,
chauvinistic-americanizing,qux,
float-bedsores,qux,
really-exercised,qux,
multifaceted-mail,baz,
preach-socialistic,foo,
enshrined-heartbreaking,bar,
generalize-regressive,baz,
craws-muscat,foo,
hollers-lurches,bar,
rostrums-bogged,qux,
attending-mold,baz,
womble-anticipatory,baz,
taichung-malteds,foo,
machinists-hurtled,baz,
harrowing-strikingly,qux,
mars-lovebird,foo,
constricted-subtitled,foo,
brunches-cartwheel,foo,
cancerous-piecemeal,baz,
lice-babbles,baz,
schweppes-interfered,foo,
subheads-nosing,foo,
recognizing-bradley,baz,
zamboni-valentine,foo,
pummelling-pinafores,foo,
condolence-indigent,foo,
docketed-workplace,baz,
micmac-unseating,bar,
bandy-shaven,qux,
yours-reconnoiter,baz,
gresham-perverts,foo,
brainless-digesting,qux,
ornate-direct,baz,
cannibalistic-inane,foo,
incubators-resided,qux,
locution-embody,bar,
disaffected-margarine,foo,
slab-gaffe,foo,
unprepared-timmy,baz,
personalizing-uncorks,baz,
balconies-satirist,bar,
calligraphers-dj,baz,
exertions-obliques,foo,
surfed-migrants,bar,
shogun-rubs,foo,
westinghouse-joyful,foo,
projectors-foodstuffs,foo,
sealed-hairnets,qux,
unnatural-martyrs,qux,
kickers-sapping,bar,
alluviums-physiotherapist,baz,
recenter-appropriating,bar,
elasticsearch-carnally,baz,
stiffed-crooks,bar,
russians-causeless,foo,
mailmen-countered,qux,
uplifted-bash,baz,
jackets-karina,bar,
ratios-moorings,foo,
calliopes-intensifier,baz,
arguably-grills,bar,
factitious-narrower,baz,
gobbledegook-stabilizer,foo,
cesar-transfinite,foo,
exuberance-intact,foo,
crisscross-actinium,qux,
cheerless-pecan,baz,
pomaded-envoy,qux,
like-quilts,bar,
profess-lamasery,baz,
wilsonian-dissipated,foo,
chunk-icecaps,foo,
metabolize-ester,bar,
his-predators,qux,
disqualified-concordances,foo,
abloom-gauges,foo,
roosts-tantamount,foo,
scorers-raising,bar,
multiprocessing-woodchuck,bar,
expanded-fancier,foo,
sects-disfranchises,baz,
bentley-conjunctivitis,bar,
eon-prophylaxis,qux,
lodges-hoaxes,baz,
kinsmen-protected,baz,
brontosaur-tuber,bar,
kyoto-bandying,foo,
actuaries-catered,baz,
recalcitrant-disbursement,baz,
outnumbering-suleiman,bar,
wessex-nev,foo,
precipitating-awakened,qux,
estella-stuccoes,bar,
leathers-lunchrooms,baz,
rn-wheedle,baz,
kidnaps-eldersburg,foo,
retroactively-environmental,bar,
misdemeanor-breakdown,bar,
uncompromising-mesabi,foo,
backpacking-testers,qux,
